site,subplot,sp_phase,yst,year,kgha_1h,kgha_10h,kgha_100h,kgha_1000h,kgha_100_1000h,1h,10h,100h,1000h,100h_1000h,duff_litter_load,trt,treatment,TC,TDC,tree_cvr_SS
ON,5,1,6,2012,998.1866667,2104.8,NA,NA,111.9820701,998.1866667,2104.8,NA,NA,111.9820701,,Mastication,BM,3,0.03,5.3
ON,6,1,6,2012,1160.48,2996.32,NA,NA,99.00729248,1160.48,2996.32,NA,NA,99.00729248,,Mastication,BM,6,0.06,7.7
ON,12,1,6,2012,769.3333333,1933.546667,NA,NA,512.1633784,769.3333333,1933.546667,NA,NA,512.1633784,,Mastication,BM,11,0.11,11
ON,10,2,6,2012,1643.36,1852.16,NA,NA,0,1643.36,1852.16,NA,NA,0,,Mastication,BM,18,0.18,14.9
ON,13,2,6,2012,856.1066666,1385.493333,NA,NA,38.46356605,856.1066666,1385.493333,NA,NA,38.46356605,,Mastication,BM,11,0.11,6.6
ON,18,2,6,2012,1190.4,2870.4,NA,NA,340.5303615,1190.4,2870.4,NA,NA,340.5303615,,Mastication,BM,14,0.14,17.2
ON,22,2,6,2012,739.0933333,1987.573333,NA,NA,585.0221479,739.0933333,1987.573333,NA,NA,585.0221479,,Mastication,BM,12,0.12,11.2
ON,30,2,6,2012,1099.04,1309.44,NA,NA,580.4993503,1099.04,1309.44,NA,NA,580.4993503,,Mastication,BM,8,0.08,8.2
ON,31,2,6,2012,277.5466667,327.7333333,NA,NA,323.9903208,277.5466667,327.7333333,NA,NA,323.9903208,,Mastication,BM,8,0.08,7.6
ON,17,3,6,2012,7886.133333,6611.786667,NA,NA,149.5834435,7886.133333,6611.786667,NA,NA,149.5834435,,Mastication,BM,25,0.25,24.2
ON,19,3,6,2012,2089.44,4505.12,NA,NA,738.4,2089.44,4505.12,NA,NA,738.4,,Mastication,BM,18,0.18,19.8
ON,24,3,6,2012,2723.52,4325.386667,NA,NA,1702.857276,2723.52,4325.386667,NA,NA,1702.857276,,Mastication,BM,18,0.18,23.6
ON,26,3,6,2012,4050.293333,7121.066667,NA,NA,1544.763676,4050.293333,7121.066667,NA,NA,1544.763676,,Mastication,BM,32,0.32,36
ON,33,3,6,2012,6019.573333,7912.266667,NA,NA,2202.507807,6019.573333,7912.266667,NA,NA,2202.507807,,Mastication,BM,26,0.26,30.7
