"subplot_id","year","speriod","tree_ltr_ld","tree_duff_ld","tree_ltr_depth","tree_duff_depth","tree_ltr_bulkd","tree_duff_bulkd","tree_cover_ttl","tree_cvr_CELE3","tree_cvr_JUOC","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","tree_cvr_PIPO","live_tree_ltr_duff_ld","dead_tree_ltr_duff_ld","tree_ltr_duff_ld","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-GR-BC030","06","001",7823,NA,3.2,0,24.4,NA,12.2,0,0,5.6,6.6,0,0,NA,NA,NA,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC030","08","001",1125,NA,0.9,0,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC030","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC030","17","001",NA,NA,NA,NA,NA,NA,2.2,0,0,2,0.2,0,0,NA,616,616,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC031","06","001",5478,NA,1.4,0,39.1,NA,18.5,0,0,6.8,11.7,0,0,NA,NA,NA,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC031","08","001",3777,NA,1.4,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC031","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC031","17","001",NA,NA,NA,NA,NA,NA,3,0,0,3,0,0,0,NA,850,850,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC033","06","001",13981,NA,2.8,0,49.9,NA,47.1,0,0,16.6,30.5,0,0,NA,NA,NA,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC033","08","001",18011,NA,1.9,0,94.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC033","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC033","17","001",NA,NA,NA,NA,NA,NA,16,0,0,4.3,11.7,0,0,NA,10291,10291,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC034","06","001",23823,3044,3,0.5,79.4,60.9,47.1,0,0,12.8,34.3,0,0,NA,NA,NA,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC034","08","001",11262,NA,1.7,0,66.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC034","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC034","17","001",NA,NA,NA,NA,NA,NA,17.2,0,0,2.7,14.5,0,0,NA,8605,8605,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC036","06","001",19120,2149,4.3,0.6,44.5,35.8,22,0,0,2.3,19.7,0,0,NA,NA,NA,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","08","001",4721,NA,1.6,0,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","17","001",NA,NA,NA,NA,NA,NA,0.8,0,0,0,0.8,0,0,NA,120,120,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC037","06","001",18987,731,2.4,0.1,79.1,73.1,54.1,0,0,21.7,32.4,0,0,NA,NA,NA,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","08","001",26458,NA,2.4,0,110.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","17","001",NA,NA,NA,NA,NA,NA,16.4,0,0,1.1,15.3,0,0,NA,5394,5394,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC038","06","001",12934,NA,2.2,0,58.8,NA,42.3,0,0,13.2,29.1,0,0,NA,NA,NA,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","08","001",14692,NA,2.5,0,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","17","001",NA,NA,NA,NA,NA,NA,23.2,0,0,4.9,18.3,0,0,NA,7010,7010,"JP","GR","B","CP","038","FI","3"
"JP-GR-CC003","06","001",24132,4447,2.4,0.3,100.5,148.2,42.3,0,0,14.4,27.9,0,0,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","08","001",20952,NA,2.7,0,77.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","17","001",NA,NA,NA,NA,NA,NA,45.9,0,0,16.9,29,0,0,33425,NA,33425,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC004","06","001",14311,429,3.1,0.1,46.2,42.9,22.6,0,0,9.6,13,0,0,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","08","001",13124,NA,3.7,0,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","17","001",NA,NA,NA,NA,NA,NA,27.3,0,0,11.1,16.2,0,0,18641,NA,18641,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC006","06","001",13390,NA,2.2,0,60.9,NA,25.8,0,0,5.4,20.4,0,0,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","08","001",10159,NA,3,0,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","17","001",NA,NA,NA,NA,NA,NA,28.3,0,0,6.8,21.5,0,0,21523,NA,21523,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC007","06","001",29152,3334,3.6,0.4,81,83.3,37.8,0,0,15.3,22.5,0,0,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","08","001",22975,NA,3.4,0,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","17","001",NA,NA,NA,NA,NA,NA,41.6,0,0,17,24.6,0,0,19051,NA,19051,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC008","06","001",17480,4431,2.7,0.4,64.7,110.8,33.9,0,0,14.6,19.3,0,0,NA,NA,NA,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC008","08","001",15405,NA,2.3,0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC008","17","001",NA,NA,NA,NA,NA,NA,30.9,0,0,14.2,16.7,0,0,22897,NA,22897,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC013","06","001",39910,3715,3.2,0.2,124.7,185.8,49.8,0,0,16.5,33.3,0,0,NA,NA,NA,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC013","08","001",22610,NA,3.3,0,68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC013","17","001",NA,NA,NA,NA,NA,NA,55.1,0,0,15.8,39.3,0,0,23157,NA,23157,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC016","06","001",27779,2194,3,0.2,92.6,109.7,36.6,0,0,9.2,27.4,0,0,NA,NA,NA,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC016","08","001",12160,NA,1.8,0,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC016","17","001",NA,NA,NA,NA,NA,NA,36.1,0,0,7.9,27.7,0.5,0,17594,NA,17594,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC017","06","001",6050,NA,1.9,0,31.8,NA,16.1,0,0,6,10.1,0,0,NA,NA,NA,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC017","08","001",4840,NA,2.5,0,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC017","17","001",NA,NA,NA,NA,NA,NA,20.7,0,0,6.7,14,0,0,8851,NA,8851,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC018","06","001",15794,1931,1.6,0.1,98.7,193.1,54.1,0,0,11.8,42.3,0,0,NA,NA,NA,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC018","08","001",28118,NA,3.4,0,82.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC018","17","001",NA,NA,NA,NA,NA,NA,60.3,0,0,14.7,45.6,0,0,30686,NA,30686,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC027","06","001",18405,NA,3.4,0,54.1,NA,27.9,0,0,12.8,15.1,0,0,NA,NA,NA,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC027","08","001",18996,NA,4.3,0,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC027","17","001",NA,NA,NA,NA,NA,NA,38.9,0,0,19.8,19.1,0,0,43277,NA,43277,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC029","06","001",3386,NA,2.9,0,11.7,NA,6.9,0,0,1.2,5.7,0,0,NA,NA,NA,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC029","08","001",1768,NA,1.8,0,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC029","17","001",NA,NA,NA,NA,NA,NA,7.4,0,0,1.3,6.1,0,0,5152,1131,6283,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC031","06","001",7778,586,3.3,0.3,23.6,19.5,12.5,0,0,6.8,5.7,0,0,NA,NA,NA,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC031","08","001",3960,NA,2.2,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC031","17","001",NA,NA,NA,NA,NA,NA,15,0,0,7.6,6.6,0.8,0,8705,NA,8705,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC033","06","001",17851,NA,4,0,44.6,NA,25.4,0,0,14.6,10.8,0,0,NA,NA,NA,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC033","08","001",16603,NA,3.7,0,44.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC033","17","001",NA,NA,NA,NA,NA,NA,29.9,0,0,16.6,13.3,0,0,15243,NA,15243,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC034","06","001",2143,164,3.1,0.2,6.9,8.2,5.8,0,0,1.4,4.4,0,0,NA,NA,NA,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC034","08","001",2359,NA,3.1,0,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC034","17","001",NA,NA,NA,NA,NA,NA,8.1,0,0,2.2,5.9,0,0,3535,3036,6571,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC038","06","001",3513,81,4,0.1,8.8,8.1,7.9,0,0,4.2,3.7,0,0,NA,NA,NA,"JP","GR","C","CP","038","CO","1"
"JP-GR-CC038","08","001",5137,NA,3.4,0,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","C","CP","038","CO","1"
"JP-GR-CC038","17","001",NA,NA,NA,NA,NA,NA,8.3,0,0,4.4,3.8,0.1,0,3631,NA,3631,"JP","GR","C","CP","038","CO","1"
"JP-GR-GC001","06","001",28468,1203,5,0.2,56.9,60.1,33.9,0,0,17.8,16.1,0,0,NA,NA,NA,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC001","08","001",14770,NA,3.1,0,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC001","17","001",NA,NA,NA,NA,NA,NA,2.6,0,0,2.2,0.4,0,0,735,1559,2294,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC003","06","001",24954,970,4.8,0.2,52,48.5,34.1,0,0,17.4,16.7,0,0,NA,NA,NA,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC003","08","001",15777,NA,2.8,0,56.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC003","17","001",NA,NA,NA,NA,NA,NA,2.3,0,0,2.3,0,0,0,1158,1447,2605,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC005","06","001",17235,3080,4.4,0.3,39.2,102.7,24.2,0,0,14.2,10,0,0,NA,NA,NA,"JP","GR","G","CP","005","BM","3"
"JP-GR-GC005","08","001",16344,NA,4.3,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","005","BM","3"
"JP-GR-GC005","17","001",NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,0,NA,1327,1327,"JP","GR","G","CP","005","BM","3"
"JP-GR-GC010","06","001",10415,NA,3,0,34.7,NA,20.9,0,0,6.5,14.4,0,0,NA,NA,NA,"JP","GR","G","CP","010","BM","2"
"JP-GR-GC010","08","001",8838,NA,2.4,0,36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","010","BM","2"
"JP-GR-GC010","17","001",NA,NA,NA,NA,NA,NA,1.4,0,0,1.1,0.3,0,0,NA,783,783,"JP","GR","G","CP","010","BM","2"
"JP-GR-GC011","06","001",7445,NA,2.7,0,27.6,NA,12.9,0,0,4.7,8.2,0,0,NA,NA,NA,"JP","GR","G","CP","011","BM","1"
"JP-GR-GC011","08","001",5384,NA,2.8,0,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","011","BM","1"
"JP-GR-GC011","17","001",NA,NA,NA,NA,NA,NA,0.3,0,0,0.3,0,0,0,NA,195,195,"JP","GR","G","CP","011","BM","1"
"JP-GR-GC015","06","001",9085,1047,4.3,0.2,21.1,52.4,12.1,0,0,3.9,8.2,0,0,NA,NA,NA,"JP","GR","G","CP","015","BM","2"
"JP-GR-GC015","08","001",6839,NA,3.9,0,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","015","BM","2"
"JP-GR-GC015","17","001",NA,NA,NA,NA,NA,NA,2.4,0,0,1.5,0.9,0,0,941,1645,2586,"JP","GR","G","CP","015","BM","2"
"JP-GR-GC016","06","001",13107,445,3.7,0.1,35.4,44.5,16.1,0,0,6.6,9.5,0,0,NA,NA,NA,"JP","GR","G","CP","016","BM","2"
"JP-GR-GC016","08","001",6733,NA,2.6,0,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","016","BM","2"
"JP-GR-GC016","17","001",NA,NA,NA,NA,NA,NA,0.9,0,0,0.7,0.2,0,0,NA,430,430,"JP","GR","G","CP","016","BM","2"
"JP-GR-GC018","06","001",7341,NA,2.4,0,30.6,NA,15.6,0,0,10.6,5,0,0,NA,NA,NA,"JP","GR","G","CP","018","BM","2"
"JP-GR-GC018","08","001",13902,NA,4.3,0,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","018","BM","2"
"JP-GR-GC018","17","001",NA,NA,NA,NA,NA,NA,1,0,0,0.8,0.2,0,0,NA,831,831,"JP","GR","G","CP","018","BM","2"
"JP-GR-GC021","06","001",5539,NA,2.9,0,19.1,NA,10.8,0,0,3.9,6.9,0,0,NA,NA,NA,"JP","GR","G","CP","021","BM","1"
"JP-GR-GC021","08","001",3613,NA,2.2,0,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","021","BM","1"
"JP-GR-GC021","17","001",NA,NA,NA,NA,NA,NA,1,0,0,0.9,0.1,0,0,NA,561,561,"JP","GR","G","CP","021","BM","1"
"JP-GR-GC026","06","001",5357,193,3.6,0.1,14.9,19.3,7.4,0,0,7.4,0,0,0,NA,NA,NA,"JP","GR","G","CP","026","BM","1"
"JP-GR-GC026","08","001",3714,NA,2.8,0,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","026","BM","1"
"JP-GR-GC026","17","001",NA,NA,NA,NA,NA,NA,0.4,0,0,0.3,0.1,0,0,NA,237,237,"JP","GR","G","CP","026","BM","1"
"JP-GR-GC027","06","001",7699,NA,3.7,0,20.8,NA,10,0,0,5,5,0,0,NA,NA,NA,"JP","GR","G","CP","027","BM","1"
"JP-GR-GC027","08","001",4359,NA,2.6,0,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","027","BM","1"
"JP-GR-GC027","17","001",NA,NA,NA,NA,NA,NA,1.1,0,0,0.9,0.2,0,0,NA,679,679,"JP","GR","G","CP","027","BM","1"
"JP-GR-GC028","06","001",3065,NA,1.9,0,16.1,NA,10.6,0,0,6.9,3.7,0,0,NA,NA,NA,"JP","GR","G","CP","028","BM","2"
"JP-GR-GC028","08","001",3204,NA,2.1,0,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","028","BM","2"
"JP-GR-GC028","17","001",NA,NA,NA,NA,NA,NA,1.1,0,0,1,0.1,0,0,NA,716,716,"JP","GR","G","CP","028","BM","2"
"JP-GR-GC029","06","001",15789,NA,3.5,0,45.1,NA,21.4,0,0,16.6,4.8,0,0,NA,NA,NA,"JP","GR","G","CP","029","BM","3"
"JP-GR-GC029","08","001",13795,NA,3.3,0,41.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","029","BM","3"
"JP-GR-GC029","17","001",NA,NA,NA,NA,NA,NA,1.5,0,0,1,0.5,0,0,NA,950,950,"JP","GR","G","CP","029","BM","3"
"JP-GR-GC031","06","001",5424,NA,2.2,0,24.7,NA,10.6,0,0,8.9,1.7,0,0,NA,NA,NA,"JP","GR","G","CP","031","BM","1"
"JP-GR-GC031","08","001",8183,NA,3.1,0,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","031","BM","1"
"JP-GR-GC031","17","001",NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,NA,15,15,"JP","GR","G","CP","031","BM","1"
"JP-GR-GC035","06","001",6620,NA,2.1,0,31.5,NA,14,0,0,13.6,0.4,0,0,NA,NA,NA,"JP","GR","G","CP","035","BM","2"
"JP-GR-GC035","08","001",12710,NA,4.7,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","G","CP","035","BM","2"
"JP-GR-GC035","17","001",NA,NA,NA,NA,NA,NA,1.6,0,0,0.9,0.7,0,0,NA,862,862,"JP","GR","G","CP","035","BM","2"
"JP-GR-MC001","06","001",7831,NA,2.4,0,32.6,NA,14.5,0,0,9.7,4.8,0,0,NA,NA,NA,"JP","GR","M","CP","001","ME","2"
"JP-GR-MC001","08","001",5634,NA,2.3,0,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","M","CP","001","ME","2"
"JP-GR-MC001","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","M","CP","001","ME","2"
