"subplot_id","year","speriod","herb_fuel_live_wd","herb_fuel_dead_wd","ispace_litter_load_wd","herb_fuel_stand_wd","tree_cover_ttl","tree_cvr_CELE3","tree_cvr_JUOC","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","tree_cvr_PIPO","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase","p_elevation","p_precip_mean"
"JP-GR-BC020","10","001",981,5,104,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","020","FI","1",1836,341
"JP-GR-BC020","13","001",259,61,16,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","020","FI","1",1836,341
"JP-GR-BC020","17","001",1277,61,608,NA,2.4,0,0,0,2.4,0,0,"JP","GR","B","CP","020","FI","1",1836,341
"JP-GR-BC026","06","001",13,27,13,NA,22.2,0,0,6.6,15.6,0,0,"JP","GR","B","CP","026","FI","2",1836,341
"JP-GR-BC026","07","001",101,40,16,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","026","FI","2",1836,341
"JP-GR-BC026","08","001",80,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","026","FI","2",1836,341
"JP-GR-BC026","09","001",349,0,11,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","026","FI","2",1836,341
"JP-GR-BC026","10","001",320,0,0,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","026","FI","2",1836,341
"JP-GR-BC026","13","001",400,133,40,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","026","FI","2",1836,341
"JP-GR-BC026","17","001",1027,184,253,NA,1.6,0,0,0,1.6,0,0,"JP","GR","B","CP","026","FI","2",1836,341
"JP-GR-BC027","06","001",61,99,96,NA,4.9,0,0,2,2.9,0,0,"JP","GR","B","CP","027","FI","1",1836,341
"JP-GR-BC027","07","001",109,56,80,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","027","FI","1",1836,341
"JP-GR-BC027","08","001",120,0,21,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","027","FI","1",1836,341
"JP-GR-BC027","09","001",269,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","027","FI","1",1836,341
"JP-GR-BC027","10","001",880,11,5,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","027","FI","1",1836,341
"JP-GR-BC027","13","001",205,133,32,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","027","FI","1",1836,341
"JP-GR-BC027","17","001",1179,160,533,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","027","FI","1",1836,341
"JP-GR-BC030","06","001",53,88,35,NA,12.2,0,0,5.6,6.6,0,0,"JP","GR","B","CP","030","FI","1",1836,341
"JP-GR-BC030","07","001",149,24,51,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1",1836,341
"JP-GR-BC030","08","001",264,0,16,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1",1836,341
"JP-GR-BC030","09","001",285,0,96,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1",1836,341
"JP-GR-BC030","10","001",955,29,16,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","030","FI","1",1836,341
"JP-GR-BC030","11","001",141,77,283,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1",1836,341
"JP-GR-BC030","12","001",267,96,48,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1",1836,341
"JP-GR-BC030","13","001",357,211,27,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1",1836,341
"JP-GR-BC030","14","001",155,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1",1836,341
"JP-GR-BC030","16","001",NA,NA,1374,357,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1",1836,341
"JP-GR-BC030","17","001",1139,0,267,NA,2.2,0,0,2,0.2,0,0,"JP","GR","B","CP","030","FI","1",1836,341
"JP-GR-BC031","06","001",16,8,24,NA,18.5,0,0,6.8,11.7,0,0,"JP","GR","B","CP","031","FI","2",1836,341
"JP-GR-BC031","07","001",24,45,5,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","031","FI","2",1836,341
"JP-GR-BC031","08","001",35,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","031","FI","2",1836,341
"JP-GR-BC031","09","001",155,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","031","FI","2",1836,341
"JP-GR-BC031","10","001",531,69,56,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","031","FI","2",1836,341
"JP-GR-BC031","13","001",NA,51,37,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","031","FI","2",1836,341
"JP-GR-BC031","17","001",603,0,784,NA,3,0,0,3,0,0,0,"JP","GR","B","CP","031","FI","2",1836,341
"JP-GR-BC033","06","001",64,11,21,NA,47.1,0,0,16.6,30.5,0,0,"JP","GR","B","CP","033","FI","3",1836,341
"JP-GR-BC033","07","001",29,51,21,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","033","FI","3",1836,341
"JP-GR-BC033","08","001",35,0,5,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","033","FI","3",1836,341
"JP-GR-BC033","09","001",144,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","033","FI","3",1836,341
"JP-GR-BC033","10","001",189,11,0,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","033","FI","3",1836,341
"JP-GR-BC033","13","001",280,176,59,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","033","FI","3",1836,341
"JP-GR-BC033","17","001",168,29,768,NA,16,0,0,4.3,11.7,0,0,"JP","GR","B","CP","033","FI","3",1836,341
"JP-GR-BC034","06","001",29,3,3,NA,47.1,0,0,12.8,34.3,0,0,"JP","GR","B","CP","034","FI","3",1836,341
"JP-GR-BC034","07","001",5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","034","FI","3",1836,341
"JP-GR-BC034","08","001",56,0,11,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","034","FI","3",1836,341
"JP-GR-BC034","09","001",541,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","034","FI","3",1836,341
